m [g],r [cm],T [K],P [dyne/cm^2],l [erg/s],ρ [g/cm^3],κ [cm^2/g],ε [erg/g/s],∇_ad,∇_rad,∇,shell type
5.152487952002544e+32,12293890058.059553,13962848.059882777,1.0128167318523672e+17,1.3143081771527135e+34,53.63919375797439,1.121911436194155,9.975519739233677,0.399999785426255,0.30064187761181027,0.30064187761181027,radiative
5.212400602603755e+32,12352565068.547985,13933165.120875098,1.0056660369335978e+17,1.3202424904196188e+34,53.37402719796599,1.1261213084131787,9.834751052663409,0.3999997860372892,0.3000762335052577,0.3000762335052577,radiative
5.2723132532049666e+32,12410975359.844923,13903611.845871156,9.985685073388914e+16,1.3260931551699464e+34,53.110058841368875,1.1303327858069492,9.696275504395672,0.39999978663956454,0.2995175912592218,0.2995175912592218,radiative
5.332225903806178e+32,12469127298.790503,13874185.76500138,9.91523445651275e+16,1.331861528723298e+34,52.84727603007743,1.1345460987149232,9.560038157220967,0.39999978723325785,0.29896579625643444,0.29896579625643444,radiative
5.3921385544073895e+32,12527027070.215666,13844884.47451762,9.845301717078696e+16,1.3375489360937056e+34,52.58566641381133,1.1387614734084193,9.425986089233648,0.3999997878185401,0.2984206996645072,0.2984206996645072,radiative
5.452051205008601e+32,12584680684.45236,13815705.634188468,9.77588021977171e+16,1.3431566711673072e+34,52.3252179394541,1.1429791322939915,9.294068295519489,0.39999978839557737,0.2978821581924269,0.2978821581924269,radiative
5.511963855609812e+32,12642093984.459913,13786646.964820726,9.706963489655165e+16,1.3486859978228622e+34,52.06591884088079,1.147199294107792,9.164235595602815,0.3999997889645306,0.2973500338597472,0.2973500338597472,radiative
5.571876506211023e+32,12699272652.591211,13757706.245899541,9.63854520651063e+16,1.3541381509984465e+34,51.80775762924724,1.1514221741016357,9.03644054626529,0.3999997895255559,0.2968241937777612,0.2968241937777612,radiative
5.631789156812235e+32,12756222217.020576,13728881.313340422,9.570619199437168e+16,1.359514337707433e+34,51.5507230837145,1.1556479842211087,8.91063735937746,0.39999979007880476,0.2963045099418942,0.2963045099418942,radiative
5.691701807413446e+32,12812948057.85376,13700170.057346582,9.503179441695579e+16,1.3648157380066604e+34,51.29480424258495,1.159876933276313,8.786781824411696,0.39999979062442426,0.29579085903469343,0.29579085903469343,radiative
5.7516144580146576e+32,12869455412.938972,13671570.420365702,9.436220045783979e+16,1.3700435059195044e+34,51.039990394826475,1.164109227105646,8.664831235328963,0.39999979116255696,0.2952831222387789,0.2952831222387789,radiative
5.811527108615869e+32,12925749383.39659,13643080.39514045,9.369735258732022e+16,1.3751987703163812e+34,50.786271071964585,1.1683450687330104,8.544744321555722,0.39999979169334193,0.29478118505918,0.29478118505918,radiative
5.8714397592170805e+32,12981834938.883951,13614698.022847522,9.303719457601862e+16,1.3802826357550584e+34,50.53363604032213,1.1725846585189017,8.426481182787345,0.3999997922169135,0.29428493715453596,0.29428493715453596,radiative
5.931352409818292e+32,13037716922.61058,13586421.39132033,9.238167145184731e+16,1.385296183282989e+34,50.28207529358813,1.1768281943056558,8.310003227373455,0.399999792733403,0.29379427217663756,0.29379427217663756,radiative
5.9912650604195035e+32,13093400056.118097,13558248.633350726,9.17307294588272e+16,1.3902404712037453e+34,50.031579045698656,1.1810758715572827,8.195273114058985,0.3999997932429377,0.29330908761786256,0.29330908761786256,radiative
6.051177711020714e+32,13148888943.838144,13530177.925065497,9.108431601765984e+16,1.3951165358095035e+34,49.782137724013346,1.1853278834941272,8.082254696869972,0.3999997937456413,0.29282928466604974,0.29282928466604974,radiative
6.111090361621926e+32,13204188077.440796,13502207.48437355,9.044237968796229e+16,1.399925392081398e+34,49.53374196277221,1.1895844212227433,7.9709129729485415,0.3999997942416346,0.2923547680664234,0.2923547680664234,radiative
6.171003012223137e+32,13259301839.985086,13474335.569480099,8.98048701320788e+16,1.4046680343594603e+34,49.28638259681889,1.1938456738611833,7.861214033155316,0.39999979473103486,0.2918854459901627,0.2918854459901627,radiative
6.2309156628243486e+32,13314234509.882536,13446560.477464225,8.917173808038842e+16,1.409345436983751e+34,49.04005065557622,1.198111828659995,7.753125015269735,0.39999979521395623,0.2914212299092666,0.2914212299092666,radiative
6.29082831342556e+32,13368990264.683878,13418880.542916566,8.854293529803304e+16,1.4139585549081893e+34,48.79473735726228,1.2023830711192292,7.646614059630781,0.39999979569050986,0.29096203447739005,0.29096203447739005,radiative
6.3507409640267716e+32,13423573184.698523,13391294.136633955,8.79184145529943e+16,1.4185083242885008e+34,48.55043410333428,1.2066595851016175,7.541650267071176,0.3999997961608043,0.2905077774163165,0.2905077774163165,radiative
6.410653614627983e+32,13477987256.455719,13363799.664368095,8.72981295854524e+16,1.4229956630456156e+34,48.30713247314989,1.2109415529421783,7.438203659008373,0.3999997966249449,0.29005837940778273,0.29005837940778273,radiative
6.470566265229194e+32,13532236376.015795,13336395.565625517,8.66820350783636e+16,1.4274214714057678e+34,48.064824218834765,1.2152291555544754,7.336245139564353,0.3999997970830348,0.28961376399037847,0.28961376399037847,radiative
6.530478915830405e+32,13586324352.139341,13309080.312516216,8.60700866291971e+16,1.431786632418481e+34,47.82350126034698,1.219522572533716,7.2357464595953065,0.39999979753517434,0.2891738574612598,0.2891738574612598,radiative
6.590391566431616e+32,13640254909.321758,13281852.408648513,8.546224072277502e+16,1.4360920124535442e+34,47.583155680728495,1.223821982256841,7.136680182519832,0.3999997979814613,0.28873858878242314,0.28873858878242314,radiative
6.650304217032827e+32,13694031690.700071,13254710.388067843,8.485845470516299e+16,1.4403384616780294e+34,47.34377972153547,1.2281275619798748,7.039019651841679,0.39999979842199135,0.2883078894913312,0.2883078894913312,radiative
6.710216867634039e+32,13747658260.838589,13227652.814237306,8.42586867585609e+16,1.4445268145143324e+34,47.10536577843835,1.2324394879326055,6.942738960269891,0.39999979885685766,0.287881693615649,0.287881693615649,radiative
6.77012951823525e+32,13801138108.399508,13200678.279057913,8.366289587714754e+16,1.4486578900801699e+34,46.86790639698461,1.2367579354108253,6.847812920345263,0.3999997992861513,0.28745993759190813,0.28745993759190813,radiative
6.830042168836462e+32,13854474648.704268,13173785.401926605,8.307104184383395e+16,1.4527324926114068e+34,46.631394268516225,1.2410830788662346,6.754217036488341,0.3999997997099611,0.2870425601878908,0.2870425601878908,radiative
6.889954819437673e+32,13907671226.191086,13146972.82883022,8.248308520788397e+16,1.4567514118685447e+34,46.39582222623515,1.2454150919942197,6.661927478388906,0.39999980012837383,0.28662950242857443,0.28662950242857443,radiative
6.949867470038885e+32,13960731116.773796,13120239.23147367,8.189898726336194e+16,1.460715423527647e+34,46.161183241410015,1.2497541478195682,6.570921055662661,0.39999980054147455,0.2862207075254443,0.2862207075254443,radiative
7.009780120640096e+32,14013657530.106844,13093583.306440713,8.131871002837037e+16,1.4646252895564449e+34,45.92747041971786,1.2541004187802975,6.48117519370491,0.3999998009493462,0.28581612080903057,0.28581612080903057,radiative
7.069692771241308e+32,14066453611.760975,13067003.774385767,8.074221622504155e+16,1.4684817585763178e+34,45.69467699771488,1.258454076809729,6.39266791067578,0.3999998013520696,0.28541568966451497,0.28541568966451497,radiative
7.129605421842519e+32,14119122445.313923,13040499.379255306,8.016946926025002e+16,1.4722855662108094e+34,45.46279633943074,1.2628152934168844,6.305377795555304,0.3999998017497244,0.2850193634702615,0.2850193634702615,radiative
7.189518072443729e+32,14171667054.360172,13014068.887537457,7.960043320701334e+16,1.4760374354212998e+34,45.23182193308082,1.2671842397653905,6.219283987210699,0.3999998021423881,0.2846270935391486,0.2846270935391486,radiative
7.24943072304494e+32,14224090404.44361,12987711.087538501,7.903507278655163e+16,1.4797380768304284e+34,45.00174738789167,1.2715610867509168,6.134366154421559,0.39999980253013667,0.2842388330625582,0.2842388330625582,radiative
7.309343373646152e+32,14276395404.916702,12961424.78868501,7.847335335097678e+16,1.4833881890338216e+34,44.77256643103463,1.275946005077323,6.05060447681192,0.3999998029130445,0.28385453705692315,0.28385453705692315,radiative
